Procedure_Code,Region,Avg_Charge
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,GA - Macon,26871.806640625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,GA - Rome,33319.9013671875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,GA - Savannah,27421.033854166668
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,HI - Honolulu,27809.958984375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,IA - Cedar Rapids,22332.6943359375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,IA - Davenport,21003.75927734375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,IA - Des Moines,24179.652994791668
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,IA - Dubuque,20053.19921875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,IA - Iowa City,27753.578125
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,IA - Mason City,23590.716796875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,IA - Sioux City,19246.82421875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,IA - Waterloo,15909.8935546875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,ID - Boise,16809.416341145832
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,ID - Idaho Falls,25589.22265625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,IL - Aurora,60712.83203125
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,IL - Bloomington,24590.5869140625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,IL - Blue Island,32268.10693359375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,IL - Chicago,45299.337890625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,IL - Elgin,29921.495442708332
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,IL - Evanston,32163.044921875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,IL - Hinsdale,30529.927734375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,IL - Joliet,29528.048828125
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,IL - Melrose Park,44665.841145833336
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,IL - Peoria,42814.291015625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,IL - Rockford,26158.914453125
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,IL - Springfield,28174.0078125
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,IL - Urbana,30510.4453125
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,IN - Evansville,19814.809765625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,IN - Fort Wayne,35651.77734375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,IN - Gary,26313.4609375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,IN - Indianapolis,25743.696126302082
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,IN - Lafayette,33470.52734375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,IN - Muncie,26232.0
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,IN - Munster,20399.44921875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,IN - South Bend,24488.9921875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,IN - Terre Haute,41983.34375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,KS - Topeka,25739.794270833332
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,KS - Wichita,25038.701049804688
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,KY - Covington,19681.271484375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,KY - Lexington,25341.402669270832
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,KY - Louisville,20655.2568359375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,KY - Owensboro,19748.357421875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,KY - Paducah,27495.216552734375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,LA - Alexandria,40051.2705078125
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,LA - Baton Rouge,29618.483723958332
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,LA - Houma,25279.3740234375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,LA - Lafayette,28294.599609375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,LA - Lake Charles,31324.63671875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,LA - Metairie,41888.365885416664
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,LA - Monroe,35980.8671875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,LA - New Orleans,43529.165364583336
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,LA - Shreveport,26799.3935546875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,LA - Slidell,38423.3046875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MA - Boston,22694.029194078947
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MA - Springfield,19238.5390625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MA - Worcester,17157.4462890625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MD - Baltimore,9863.414632161459
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MD - Salisbury,23996.248046875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MD - Takoma Park,11580.1669921875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,ME - Bangor,16001.9462890625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,ME - Portland,13720.02001953125
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MI - Ann Arbor,22816.2412109375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MI - Dearborn,24213.435221354168
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MI - Detroit,24614.113037109375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MI - Flint,25269.7802734375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MI - Grand Rapids,17369.30126953125
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MI - Kalamazoo,24990.166015625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MI - Lansing,22867.0634765625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MI - Marquette,19283.43359375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MI - Muskegon,18694.90625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MI - Petoskey,13731.8974609375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MI - Pontiac,31926.4921875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MI - Royal Oak,20624.619140625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MI - Saginaw,18601.10390625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MI - St. Joseph,19762.2734375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MI - Traverse City,15254.576171875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MN - Duluth,25784.8056640625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MN - Minneapolis,24091.275499131945
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MN - Rochester,25844.833984375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MN - St. Cloud,21249.259765625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MN - St. Paul,41664.41796875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MO - Cape Girardeau,37356.6484375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MO - Columbia,21565.854654947918
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MO - Joplin,19335.92822265625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MO - Kansas City,29074.38623046875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MO - Springfield,20868.721354166668
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MO - St. Louis,25561.060677083333
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MS - Gulfport,32590.638671875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MS - Hattiesburg,26699.1962890625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MS - Jackson,29378.8486328125
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MS - Meridian,26918.3935546875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MS - Oxford,16094.7373046875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MS - Tupelo,21175.6337890625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MT - Billings,15391.47119140625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MT - Great Falls,20515.966796875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,MT - Missoula,19849.5
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NC - Asheville,17718.61328125
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NC - Charlotte,29087.188151041668
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NC - Durham,23269.3486328125
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NC - Greensboro,12379.6865234375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NC - Greenville,18732.438151041668
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NC - Hickory,25609.39453125
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NC - Raleigh,21928.451904296875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NC - Wilmington,17083.099609375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NC - Winston-Salem,20522.901041666668
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,ND - Bismarck,12077.88525390625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,ND - Fargo/Moorhead MN,14847.696940104166
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,ND - Grand Forks,16553.17578125
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,ND - Minot,16446.384765625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NE - Lincoln,15401.594482421875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NE - Omaha,23668.973493303572
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NH - Lebanon,22848.185546875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NH - Manchester,24393.12374441964
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NJ - Camden,37475.480529785156
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NJ - Hackensack,34740.390625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NJ - Morristown,23881.55859375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NJ - New Brunswick,34068.009765625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NJ - Newark,28740.9951171875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NJ - Paterson,40113.3203125
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NJ - Ridgewood,33061.8916015625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NM - Albuquerque,29200.405859375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NV - Las Vegas,53165.54904513889
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NV - Reno,34940.677083333336
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NY - Albany,17875.40771484375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NY - Binghamton,15515.71044921875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NY - Bronx,37429.921875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NY - Buffalo,19597.1884765625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NY - East Long Island,30253.041259765625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NY - Elmira,14982.462565104166
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NY - Manhattan,28495.344401041668
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NY - Rochester,10866.1875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NY - Syracuse,18116.179036458332
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,NY - White Plains,27730.1923828125
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,OH - Akron,22366.27294921875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,OH - Canton,10064.2685546875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,OH - Cincinnati,33229.1
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,OH - Cleveland,27442.079752604168
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,OH - Columbus,27596.505593039772
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,OH - Dayton,34526.362630208336
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,OH - Elyria,18487.798828125
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,OH - Kettering,41482.78515625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,OH - Toledo,32878.4953125
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,OH - Youngstown,28474.671875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,OK - Lawton,16458.95703125
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,OK - Oklahoma City,27144.578515625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,OK - Tulsa,21743.521484375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,OR - Bend,24736.578125
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,OR - Eugene,23474.48681640625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,OR - Medford,23647.345052083332
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,OR - Portland,29061.08935546875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,OR - Salem,24192.89453125
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,PA - Allentown,47779.89013671875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,PA - Altoona,20481.69921875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,PA - Danville,23515.154541015625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,PA - Erie,44244.671875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,PA - Harrisburg,31696.736979166668
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,PA - Johnstown,15863.2724609375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,PA - Lancaster,20994.470703125
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,PA - Philadelphia,42779.35114397322
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,PA - Pittsburgh,22502.280517578125
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,PA - Reading,15655.93994140625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,PA - Scranton,19321.4521484375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,PA - Wilkes-Barre,33811.63671875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,PA - York,16807.880859375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,RI - Providence,22406.35302734375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,SC - Charleston,26210.958333333332
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,SC - Columbia,37618.6171875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,SC - Florence,49370.1572265625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,SC - Greenville,36902.89453125
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,SC - Spartanburg,32177.228515625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,SD - Rapid City,30355.22265625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,SD - Sioux Falls,18997.494466145832
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,TN - Chattanooga,28377.19580078125
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,TN - Jackson,37687.99609375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,TN - Johnson City,24760.5703125
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,TN - Kingsport,18264.41064453125
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,TN - Knoxville,16318.081612723214
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,TN - Memphis,27244.14013671875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,TN - Nashville,28433.61688232422
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,TX - Abilene,29026.6201171875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,TX - Amarillo,27223.2958984375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,TX - Austin,31994.34375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,TX - Beaumont,27836.5009765625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,TX - Bryan,27721.611328125
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,TX - Corpus Christi,41901.642578125
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,TX - Dallas,27429.51918658088
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,TX - El Paso,36858.595703125
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,TX - Fort Worth,24477.619954427082
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,TX - Harlingen,32855.18359375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,TX - Houston,40039.46142578125
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,TX - Longview,30224.7236328125
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,TX - Lubbock,42210.66357421875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,TX - McAllen,26082.26171875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,TX - Odessa,27738.42578125
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,TX - San Angelo,19231.125
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,TX - San Antonio,32593.641764322918
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,TX - Temple,19983.09375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,TX - Tyler,28298.4423828125
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,TX - Victoria,29503.5
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,TX - Waco,17350.9375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,TX - Wichita Falls,32020.869140625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,UT - Ogden,22901.9619140625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,UT - Provo,14939.529296875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,UT - Salt Lake City,21779.34521484375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,VA - Arlington,22324.389322916668
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,VA - Charlottesville,21797.380208333332
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,VA - Lynchburg,13721.37109375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,VA - Newport News,24173.781901041668
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,VA - Norfolk,24114.566545758928
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,VA - Richmond,47699.68212890625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,VA - Roanoke,28081.203125
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,VA - Winchester,12007.8623046875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,VT - Burlington,16602.42578125
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,WA - Everett,34694.2421875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,WA - Olympia,36434.9375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,WA - Seattle,32536.90310329861
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,WA - Spokane,22447.17431640625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,WA - Tacoma,53322.265625
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,WA - Yakima,24395.115234375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,WI - Appleton,14993.5458984375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,WI - Green Bay,23452.16748046875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,WI - La Crosse,21308.8095703125
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,WI - Madison,29408.60703125
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,WI - Marshfield,18961.9375
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,WI - Milwaukee,27495.91134982639
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,WI - Wausau,17780.5595703125
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,WV - Charleston,15647.826904296875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,WV - Huntington,24064.65966796875
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,WV - Morgantown,17789.2705078125
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,WY - Casper,25716.857421875
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,AK - Anchorage,31858.544921875
